"id","term","category","weight"
"1","remember","A","-0.06751450949062812"
"2","what","A","0.2291620796648049"
"3","she","A","0.2797200709523071"
"4","said","A","-0.2536381606712455"
"5","in","A","-0.15874351584400595"
"6","my","A","0.7492013288660392"
"7","last","A","0.06033568534386177"
"8","letter","A","0.172854697915919"
"9","?","A","-0.08350158323686686"
"10","""","A","0.09888369842027285"
"11","if","A","0.08867115226463103"
"12","i","A","0.4564179899729407"
"13","wasn't","A","-0.056959266544694055"
"14","working","A","-0.013916711766379363"
"15","here","A","-0.13593308398501444"
"16",".","A","-0.3643434001437991"
"17","..","A","-0.014822824354202995"
"18","goodwill","A","0.048278352945252144"
"19","helps","A","0.047215801335383126"
"20","people","A","-0.012107452132605478"
"21","get","A","0.14736172741623493"
"22","off","A","0.2171955325252825"
"23","of","A","-0.003363302866047872"
"24","public","A","0.03258244497498601"
"25","assistance","A","-0.02978725763028912"
"26","sherry","A","0.008644598277775835"
"27","learned","A","0.0020581150930860156"
"28","through","A","-0.2352892365322178"
"29","our","A","0.18057840426073246"
"30","future","A","0.09400704590576693"
"31","works","A","-0.03207399106524176"
"32","class","A","0.021708776460481503"
"33","that","A","0.1021766234315014"
"34","could","A","-0.07473599792455779"
"35","rise","A","0.03202570559398185"
"36","out","A","0.10928709111590451"
"37","the","A","-0.20125719982520762"
"38","mire","A","0.008644598277775835"
"39","welfare","A","-0.04046823452147932"
"40","system","A","-0.12389207682773275"
"41","and","A","0.2000732487022389"
"42","support","A","0.027033738784654593"
"43","her","A","0.4984423464987048"
"44","family","A","-0.006310951250463002"
"45","coming","A","0.07414487583293942"
"46","to","A","-0.009557350397449278"
"47","was","A","-0.08603911271701054"
"48","first","A","0.04742644529231683"
"49","step","A","-0.014182481391101098"
"50","toward","A","-0.07341681939333959"
"51","becoming","A","0.0018276170478407263"
"52","totally","A","-0.029588336342215606"
"53","independent","A","-0.022080829045530666"
"54","am","A","0.2001514536029122"
"55","now","A","0.31184547451586786"
"56","...","A","-0.15311149515728573"
"57","prepares","A","0.016057085238833646"
"58","for","A","-0.12327166624920041"
"59","life-long","A","0.016057085238833646"
"60","employment","A","-0.024078075619346984"
"61","here's","A","-0.04801427815333221"
"62","another","A","-0.07371077295265231"
"63","story","A","0.007286742129185252"
"64","success","A","0.12094714764914911"
"65","from","A","0.0817837590409526"
"66","might","A","0.06317308164290567"
"67","seem","A","-0.05869212376700927"
"68","like","A","-0.038089754215458974"
"69","an","A","0.1485123040430216"
"70","unlikely","A","-0.0290928139432382"
"71","source","A","0.021043142035075117"
"72",":","A","-0.29726742374272397"
"73","goodwill's","A","-0.03491994148961867"
"74","controller","A","-0.007910640679969607"
"75",",","A","-0.10079573330464717"
"76","juli","A","-0.007910640679969607"
"77","cornell","A","-0.0029756461134634324"
"78","found","A","0.4000077559833979"
"79","a","A","-0.020557341719419694"
"80","number","A","-0.052190170411423355"
"81","options","A","-0.05676321290611082"
"82","he","A","0.15243036891009398"
"83","never","A","0.05650867921456625"
"84","dreamed","A","-0.0029756461134634324"
"85","existed","A","-0.002652989864700658"
"86","after","A","-0.006540728089409983"
"87","work-site","A","-0.0029756461134634324"
"88","injury","A","0.02493090804331812"
"89","forced","A","0.052021890062535964"
"90","him","A","0.5176878758096977"
"91","his","A","-0.012384909189788627"
"92","job","A","0.00013156207363998506"
"93","at","A","-0.12894602961141718"
"94","foundry","A","-0.0029756461134634324"
"95","trained","A","0.013033554042488403"
"96","desktop","A","-0.011357118611367609"
"97","publishing","A","-0.043574484699932525"
"98","combined","A","-0.0017338309177835362"
"99","enthusiastic","A","0.07342057902884892"
"100","work","A","-0.2027923350238665"
"101","ethic","A","-0.01080998299450783"
"102","with","A","0.25462995929520904"
"103","new-found","A","-0.00778032936510671"
"104","skills","A","-0.010091783151800869"
"105","burgeoning","A","-0.021476423902456868"
"106","industry","A","-0.07483895957614142"
"107","dear","A","-0.24490304660850806"
"108","i've","A","0.17968368236338994"
"109","got","A","0.04627735238067424"
"110","more","A","-0.009989525914993226"
"111","than","A","-0.11912272253747967"
"112",";","A","0.04342663763777439"
"113","career","A","-0.01942675013158783"
"114","lifetime","A","0.009164978372631695"
"115","trials","A","0.017872269981437143"
"116","donna","A","0.011556860578397984"
