,tokens,values
0,fluted,0.00018815569225269613
1,danger,-0.0011913390144622762
2,55,0.00023235215858009135
3,speaking,-0.0010535942391197916
4,photo,0.0015834092284704253
5,80s,-6.886819004174621e-05
6,parboiled,-0.0007205247012738015
7,workforce,0.00036530553977105133
8,phosphorous,-0.0009019480741712641
9,pakistan,-0.001157049895111586
10,stg,7.1247314472695775e-06
11,ray,0.0010941436164551863
12,condemned,-0.001191339187695951
13,soda,0.0005965668993724763
14,inferiority,-0.0011913392496862448
15,murmuring,-0.0011607461209344984
16,harmed,-0.0011913391673894786
17,enjoying,0.006943277238703208
18,modeler,0.00013898385017547244
19,mps,-0.00039379423909098235
20,san,0.000633160219475482
21,toasty,0.004197034822005277
22,journey,0.0025928536327160774
23,microsoft,-0.0006439523835342041
24,books,0.001816035946890134
25,nothing,-0.0011913392083566466
26,substance,-0.0008480401834527078
27,occasionally,-0.0011075416891895883
28,older,0.00039474628202453065
29,sat,-0.0008676406896222599
30,fertilization,0.00019296580369756802
31,prehistoric,-3.7948992220020274e-05
32,cubes,0.00021879683204228785
33,attached,-0.00013807264994255777
34,additional,0.00016493477270831594
35,follies,-0.0009579218195919204
36,philsophy,-0.0001248499849193475
37,preservationists,0.0011007892667092114
38,include,2.3511443404170804e-05
39,geezers,4.179917915183629e-05
40,125,0.0006803915397620514
41,worrying,-0.0011913392814782626
42,wendover,0.0013708490418152712
43,alter,-0.0001728795324994757
44,guests,0.0038999254326355054
45,flushed,-0.0011146113690951478
46,unless,-0.0011913391633567247
47,wildlife,0.0030791532114754954
48,praised,0.0066159313487354435
49,cutcliffe,0.0002215838416807283
50,comments,-0.0005431065560217532
51,deceive,-0.0011913391603383828
52,compact,0.00111018661698938
53,thorough,0.0012337913189122073
54,0830,-0.0008154638222738942
55,9302,0.00013396201941553605
56,socially,0.00023931626339529342
57,strain,-0.0011599843454038483
58,renewing,0.0012602504867795512
59,data,-0.0003557121948925426
60,nevada,0.00026101038227177185
61,oliver,0.0003018217933506707
62,crews,0.00038788997402118043
63,wednesday,0.0006963039253006667
64,film,0.0011421167950637755
65,socialite,-0.0011802171515781293
66,predominance,6.0791161988009345e-05
