,tokens,values
0,helps,-0.0006779826732648316
1,uncommon,-0.0060375158741249
2,blank,0.013849007629833952
3,iraqis,0.07470127029415648
4,explored,0.01292026784486964
5,concentrate,0.001366081583028517
6,fabrication,0.013904463993028839
7,vividly,0.018075130616361394
8,continuous,0.034198204282992875
9,combined,0.020386718515581218
10,platform,0.007556677180103306
11,reviews,0.0026337324504705634
12,town,0.00024638820348861
13,arounf,-0.0012662565457467038
14,questioned,0.03162158617550122
15,per,0.010033438994935327
16,versus,-0.002195884464161255
17,heavier,0.008470244252251886
18,weekends,-0.005148428032427146
19,degrees,0.003768794778237045
20,tales,-0.0011446163060264015
21,grateful,0.03314663649467225
22,ambulances,0.07096959846795675
23,inevitably,0.0006944244964937126
24,practical,-0.00539842245647436
25,doorstep,0.027785670838336725
26,pompous,-0.005282359999083622
27,resume,-0.002123096501408758
28,softer,0.01719725036174474
29,country,0.00975624574013254
30,reflect,0.013881574437804417
31,appalled,0.0733632104904343
32,tone,-0.0028823182927414106
33,accusations,0.03226825710709224
34,befell,0.011137339785987337
35,afterward,-0.004082564935720073
36,week,0.01047437231647919
37,jerk,-0.005417259248802737
38,branch,0.00427599264900228
39,pockets,0.004266452105393553
40,charged,0.04556777673229706
41,victims,0.04655090277686966
42,doors,0.008048112677469884
43,generally,-0.006479052934962214
44,presumably,-0.006632458728729734
45,is,0.005866864969741921
46,dictator,0.016653459576673767
47,monster,0.05026096802595028
48,vets,0.02132906607710452
49,wasn,-0.0031177956845081273
50,shares,0.00713536737866317
51,20,0.01994530302243898
52,dismantling,0.016382351677465278
53,guarded,-0.0009520195456409075
54,engage,0.012196273550314295
55,blowing,0.0059801805057007745
56,physically,0.030136844950730116
57,flash,-0.004511883391527286
58,importance,0.003435462422731171
59,politician,-0.0023088322936968314
60,adopt,0.02816213705821834
61,vegan,0.024869362202973734
62,sarah,0.03538089033005984
63,"!""",-0.0017841608561212294
64,senate,0.032474406975395706
65,tongue,0.000456379668577808
66,pence,0.021947004019186325
67,curiosity,-0.0011683671105352526
68,staple,0.0030674433779301945
69,colloquially,-0.004274448940932944
70,malfunctioned,0.02620001740368767
71,model,-0.004716703164618691
72,stole,0.012399324578250933
73,originally,-0.0062782094920264655
74,hails,0.019870957481339914
75,sway,-0.004402905142116581
76,psychotherapy,0.017301524662782307
77,operating,0.006478284141050762
78,surpring,-0.0017841608561212294
79,currently,0.008518189044470796
80,bloggers,-0.001435158740075804
81,shortage,0.011550269057140062
82,yemeni,0.008222602240057756
83,explosion,0.04488756205618457
84,conveyor,0.09586539534146811
85,internalized,0.014594536799710095
86,twenty,0.0155434253289769
87,nail,0.0003975051802188645
88,wherever,0.002478250237273293
89,spit,0.01664133261936831
90,nightmare,0.031096288143674763
91,fasciitis,0.044330420861165
92,39,0.03163858404029816
93,soemoen,-0.0017841608561212294
94,instance,0.0064946962988658204
95,throwing,0.00810507586790357
96,injuries,0.014993661052981508
97,bites,0.0027153396169685936
98,hamas,0.0462517497113134
99,defending,-0.00023154050098531516
100,rats,0.00018581482059369195
101,vigilante,0.01609169435589759
102,centers,0.018990263977745888
103,encouraging,0.024317870801800093
104,favorite,0.002691997997209555
105,charge,0.008743405594490722
106,latino,0.018941202539417234
107,heard,0.004630378573428547
108,nervous,0.015231400302450914
109,target,0.01993807317086451
110,healing,0.04340549035737666
111,bags,0.032392349417819676
112,reaction,0.011582479939465103
113,illegally,0.032716922656511785
114,pulled,0.023255001509702496
115,magazine,-0.002368144538935984
116,bothers,-0.004456220310772172
117,wraps,0.002163244192329979
118,kill,0.04446484667909923
119,letters,0.016473686988290877
120,guantanamo,0.03056528271317427
121,arabia,0.01800120983765936
122,molest,0.037218328584150646
123,9,0.023438199973232845
124,rallying,0.004233649677467425
125,acted,0.011201515103945585
126,road,-0.0003594196674388502
127,pipes,-0.004201202174271091
128,fan,-0.0033495847565902684
129,smokey,-0.0038858846253052694
130,penalty,0.02354315684048756
