,tokens,values
0,helps,0.023474591343487845
1,uncommon,0.0019321282005147836
2,blank,0.011767197360356663
3,iraqis,0.05298710335835969
4,explored,0.025138202501878884
5,concentrate,0.012761168504808998
6,fabrication,0.0003319543613566848
7,vividly,0.027034435252662626
8,continuous,0.026698311488033043
9,combined,0.005808844446346494
10,platform,0.01588307601673089
11,reviews,0.008511815204107721
12,town,0.011105562134454322
13,arounf,0.012025314766884896
14,questioned,0.008257351647400303
15,per,0.017046492883492945
16,versus,0.02309047050299561
17,heavier,0.017692386498495794
18,weekends,0.0015940680588238277
19,degrees,0.015851505421046158
20,tales,0.0071651590098985255
21,grateful,0.03793937266564974
22,ambulances,0.04437807099878362
23,inevitably,-5.545305479680129e-05
24,practical,0.005531918614281522
25,doorstep,0.03661435401477306
26,pompous,-0.0007068775538272339
27,resume,0.013109430051728066
28,softer,0.01743525109696852
29,country,0.010373515427520467
30,reflect,0.020316212323198767
31,appalled,-0.0002883333068998114
32,tone,0.0063869160651931
33,accusations,0.008009444824913035
34,befell,0.019345815199161242
35,afterward,0.005648757701975337
36,week,0.0019060169776784015
37,jerk,-0.004395003868055884
38,branch,-0.00017058115578535234
39,pockets,0.007239161279763229
40,charged,0.012614390502384231
41,victims,0.023067625843807758
42,doors,0.011434821026427957
43,generally,0.0007833588104422473
44,presumably,0.0011419385389459871
45,is,0.007675042092589529
46,dictator,-0.0031637021949905654
47,monster,0.005130680684306289
48,vets,0.04256093952538571
49,wasn,0.0008140241039260417
50,shares,0.016022125975122096
51,20,0.03630871350534607
52,dismantling,4.874950871576189e-05
53,guarded,0.007912018209422481
54,engage,0.017390770859391527
55,blowing,-0.0017166781919706476
56,physically,0.021508026407350556
57,flash,-0.0032450708198670177
58,importance,0.03253905511301408
59,politician,0.005038285381347504
60,adopt,0.011677664383806779
61,vegan,0.016656072170179535
62,sarah,0.03917878741657941
63,"!""",0.0005673673579849474
64,senate,0.020836512439068037
65,tongue,0.027459303579598
66,pence,0.027820685952225272
67,curiosity,-0.00330921327327457
68,staple,0.015082320668973125
69,colloquially,0.021837161140106608
70,malfunctioned,0.007782983417240907
71,model,0.0025134654767957694
72,stole,0.01043557546322492
73,originally,0.0021395518161196492
74,hails,0.03053105680376629
75,sway,-0.0029936580079918933
76,psychotherapy,0.03167363963488062
77,operating,0.012202957513019632
78,surpring,0.0005673673579849474
79,currently,0.0005020990083347319
80,bloggers,0.0024584607007957
81,shortage,0.0027969263236812614
82,yemeni,0.01470937434464522
83,explosion,0.027183061473694998
84,conveyor,0.07113784851831241
85,internalized,0.03750536062774754
86,twenty,0.004059592128917591
87,nail,0.004551852965126913
88,wherever,0.016080311864548114
89,spit,0.017916269565870543
90,nightmare,0.0004934363848164299
91,fasciitis,0.05193561813595847
92,39,0.02752218551481004
93,soemoen,0.0005673673579849474
94,instance,0.004461834828992021
95,throwing,0.00248253981348783
96,injuries,0.03822984156789182
97,bites,0.013354694883822073
98,hamas,0.026369711055899147
99,defending,0.00506464349759919
100,rats,0.016482453958943422
101,vigilante,0.008682562723613417
102,centers,0.01791446547887499
103,encouraging,0.002932680000510404
104,favorite,0.013408531187643149
105,charge,-6.060871790247946e-05
106,latino,0.013559187804877073
107,heard,0.012894375406395153
108,nervous,-0.0012688435817471417
109,target,0.04303723060405284
110,healing,0.10880572565488038
111,bags,0.025830401164398296
112,reaction,0.0009619215016906335
113,illegally,0.0034850408451427314
114,pulled,0.007022271664775606
115,magazine,0.0018141186819752785
116,bothers,-0.0043994027074383095
117,wraps,0.01988769305153648
118,kill,0.02213911182873701
119,letters,0.02809035856082287
120,guantanamo,0.006800935222236585
121,arabia,0.005203828569150996
122,molest,-5.426944045633449e-05
123,9,0.024934881065089596
124,rallying,0.03339290880688679
125,acted,-0.0015205294359928053
126,road,0.016827761675067252
127,pipes,0.008751050545807404
128,fan,-0.002666916339301868
129,smokey,0.013261100858803805
130,penalty,0.01565367468279346
131,trade,-0.0035485784974686025
132,educated,0.007418464906136647
