,tokens,values
0,fluted,3.703718388279262e-06
1,danger,-0.00024747082996432726
2,55,-0.00018284200308781165
3,speaking,-0.00012337912728463028
4,photo,3.2922494531998855e-05
5,80s,-0.00019170011106206278
6,parboiled,-0.00024310726875109926
7,workforce,1.6948876161660592e-05
8,phosphorous,-0.00020814870841671918
9,pakistan,-0.00013580582965794656
10,stg,-8.669141526580076e-05
11,ray,-0.00017085227807798326
12,condemned,-0.0002473743268906994
13,soda,-6.47095700630542e-05
14,inferiority,-0.00023341866600461392
15,murmuring,-0.0002496363819990636
16,harmed,-0.00024510929058892594
17,enjoying,0.0003492629434209114
18,modeler,0.0001295900345433788
19,mps,-3.6159158090206416e-05
20,san,6.946909108695708e-05
21,toasty,0.00029923543456936255
22,journey,1.108195645965891e-05
23,microsoft,8.262991593544495e-05
24,books,7.934243430180654e-05
25,nothing,-0.000112572099261039
26,substance,-0.00012239712203693834
27,occasionally,-0.00022501104508486095
28,older,-0.00016356576098855316
29,sat,-0.0002492993919826011
30,fertilization,5.4511469964204475e-05
31,prehistoric,4.087411230909793e-05
32,cubes,8.299798632093231e-05
33,attached,-0.00018866400265453876
34,additional,0.00011760293059022519
35,follies,-0.0001611640991058365
36,philsophy,-2.0047158500309136e-05
37,preservationists,0.00023486536931742824
38,include,6.046357891626909e-05
39,geezers,-3.714610022140559e-05
40,125,-5.728277405139398e-06
41,worrying,-0.00024917839210441753
42,wendover,5.6650799885570406e-05
43,alter,8.04477904074913e-05
44,guests,0.00021994380093339315
45,flushed,-0.00024303254854099774
46,unless,-2.527669294585195e-05
47,wildlife,0.0003295818614983334
48,praised,0.00018393837986893739
49,cutcliffe,9.013975963145497e-05
50,comments,-6.307606595592103e-05
51,deceive,-4.317931720333408e-05
52,compact,0.00016338760637432388
53,thorough,0.00013452153846549238
54,0830,-0.00024068936889479493
55,9302,-1.2014174185934033e-05
56,socially,1.0742096478055588e-05
57,strain,-0.0002180258602115176
58,renewing,8.382051935669688e-05
59,data,2.5549734227388028e-05
60,nevada,3.3631878990345635e-05
61,oliver,-5.321660607740426e-06
62,crews,-2.5844860249731802e-05
63,wednesday,-0.00011062907086369455
64,film,7.901305722574736e-05
65,socialite,-0.00021542664422529324
66,predominance,-8.507425170483466e-05
67,coast,-0.00017067005144257786
68,sharp,-0.00020876303742347154
69,.,4.665532523267878e-05
70,83,-0.00020180230492148618
71,bonnets,-8.438199666826935e-05
72,queer,-2.1787128259139674e-05
73,equivalent,3.064308242477713e-05
74,aspect,0.0001095903916106577
75,enthralling,0.00019994434703615296
76,protectionist,-0.00017994298248990407
77,approved,8.351120580217234e-05
78,bakery,-0.00010377696423586923
79,barred,-0.00024364861161398763
80,weren,-0.00024411136590925828
81,double,0.00012662547702151712
82,forged,-0.00015407162297130378
83,period,-0.0002075619055302329
84,venetian,-6.947161680918856e-06
85,obscenity,-5.660296639344818e-05
86,sequestering,-0.00021500013406832195
87,may,-0.00018580201938591447
88,lingers,-0.0002514960459241025
89,voiced,-0.00022166370814319576
90,orion,-3.6098225014720566e-05
91,anew,-0.00017601108400275064
92,caliche,-0.00019953759470669335
