,tokens,values
0,fluted,-0.0003889319887503184
1,danger,0.0009939051096379836
2,55,-0.00042011177631958655
3,speaking,0.0003614539312054887
4,photo,-0.00037634001743039943
5,80s,0.0005218458847481678
6,parboiled,-0.0004453803524770962
7,workforce,-0.0001927598800000016
8,phosphorous,0.00015788031780479816
9,pakistan,0.00010131959345324344
10,stg,-0.00042698719546329283
11,ray,-0.00016727578259403278
12,condemned,0.0012054983910576404
13,soda,-0.00014107886494246023
14,inferiority,1.48688571190785e-05
15,murmuring,0.00013510225539681785
16,harmed,0.00016938641866187968
17,enjoying,0.0013976962781255596
18,modeler,-0.00044368492871005544
19,mps,-0.00018219772972945627
20,san,-0.0004162572555102852
21,toasty,0.0003738938465722937
22,journey,4.591058435789934e-05
23,microsoft,-0.00010778322300101712
24,books,-0.00015517709448378746
25,nothing,0.0006032121280550239
26,substance,-0.0003778840542047548
27,occasionally,-0.0002470631967286955
28,older,-0.00038477282610547154
29,sat,-0.00028454397147082095
30,fertilization,-0.0004443292105970525
31,prehistoric,0.0007374499368470599
32,cubes,-0.0003301087835676043
33,attached,-0.0004349836856735855
34,additional,-0.00039798032149923536
35,follies,-5.920041643845223e-05
36,philsophy,-0.0004252511502064824
37,preservationists,0.00026519402357366386
38,include,-0.00044416410117071936
39,geezers,0.0006131310052850867
40,125,-0.00043197017808507457
41,worrying,0.00011748371863070521
42,wendover,-0.00043119117429850557
43,alter,-0.0004160015157608882
44,guests,-0.000120486388573163
45,flushed,0.0006466459448018392
46,unless,-1.6863354623899325e-05
47,wildlife,3.085931854218171e-05
48,praised,0.001860819390909029
49,cutcliffe,-0.00014828904037807422
50,comments,-0.00038987341469834814
51,deceive,-2.890236754691087e-05
52,compact,-0.00022125697730854979
53,thorough,4.046398470414355e-05
54,0830,-0.0004464558970562416
55,9302,-0.00044645586766332883
56,socially,1.3911172644630391e-05
57,strain,-0.000150020438692332
58,renewing,0.00045520257099130435
59,data,-0.0004242290420257542
60,nevada,-0.0004099468614512342
61,oliver,-0.0003775851030495488
62,crews,0.00019696816930085437
63,wednesday,6.295569426740967e-05
64,film,-0.00038899934604580215
65,socialite,-0.0002576868195619675
66,predominance,-0.0004309955867728945
67,coast,-7.570826112798977e-05
68,sharp,0.000546113663650181
69,.,-0.000445463163143923
70,83,-0.0004330245118274142
71,bonnets,-0.00026658427497566956
72,queer,0.00044717027744850443
73,equivalent,2.400862083217418e-05
74,aspect,-0.00043602668143998804
