	tokens	ratings
0	--	3.1893997
1	either	1.369639
2	millions	10.895681
3	understood	13.215252
4	tellers	11.161782
5	protect	15.457439
6	sanctions	2.388713
7	cost	6.238262
8	ship	11.107565
9	sham	1.3157358
10	voted	4.1811504
11	schools	11.209031
12	lmfao	3.8375704
13	keeping	3.6166785
14	sacrifice	20.48142
15	greece	21.64524
16	police	9.158251
17	deaths	15.763139
18	suffering	29.280548
19	,,,	3.6083338
20	half	2.0056474
21	4	9.92814
22	revenge	12.632429
23	soo	13.699681
24	outcome	2.7201557
25	called	4.836774
26	sharply	5.2238674
27	usually	3.4014256
28	cage	10.092811
29	information	14.09682
30	procedure	4.6491365
31	brampton	19.08029
32	website	5.305394
33	consumer	11.566424
34	fact	2.1549804
35	far	1.835226
36	earthly	9.667581
37	rheumatism	16.629042
38	system	8.081159
39	nevada	7.6010036
40	moody	9.657574
41	compared	4.9585075
42	publicly	5.486923
43	approval	8.531006
44	foul	4.868125
45	daring	1.9451602
46	diapers	9.102419
47	try	3.1616256
48	mark	12.990725
49	done	8.779148
50	suffer	17.29963
51	astray	10.594023
52	products	6.257925
53	species	5.7985706
54	marea	17.170805
55	unfortunate	7.1177664
56	regardless	2.2359486
57	mine	7.8473463
58	gues	3.7324421
59	reservations	13.091191
60	both	4.726959
61	someday	5.2494307
62	boss	3.5223486
63	re	9.380363
64	really	9.682034
65	runways	8.703636
66	speaker	10.967101
67	free	9.969862
68	tech	1.9286314
69	shocked	4.448964
70	regard	5.468523
71	responsibility	14.905971
72	helps	11.415337
73	complications	13.19972
74	death	19.492308
75	widowed	17.353516
76	farmland	20.432243
77	protection	15.133191
78	serial	3.1450946
79	shameful	3.663385
80	likely	2.9942682
81	usable	7.054553
82	they	5.849372
83	nominating	6.1852055
84	number	5.5218105
85	discipline	7.1565332
86	shamed	3.5046544
87	lender	9.594874
88	certainly	2.6279635
89	monetary	9.356667
90	any	2.00139
91	u	4.8423157
92	somebody	8.29962
93	us	13.76509
94	teacher	12.8405
95	"""."	3.6083338
96	afternoon	6.3835115
97	no	3.052941
98	18	14.153225
99	amount	3.0479677
100	cremate	11.005562
101	aside	1.8760221
102	expected	2.475666
103	lenses	3.399825
104	three	3.964585
105	few	3.6140718
106	weight	20.517069
107	ll	7.7918634
108	lazier	4.5317154
109	depends	3.6258435
110	agree	2.885719
111	hide	2.3753052
112	chaos	9.261292
113	counts	7.0912905
114	turn	8.425397
115	growth	3.8649652
116	attacking	3.7609465
117	figure	1.6636698
118	basic	3.66542
119	combined	4.574358
120	to	8.372061
121	ideals	6.9394836
122	remote	4.690611
123	water	13.4943905
124	crying	14.529607
125	punished	7.161621
126	anyways	2.6158097
127	!!!	3.6083338
128	rough	21.772907
129	training	7.8862114
130	break	8.751707
131	er	3.1073976
132	be	4.8835278
133	doubt	1.5355814
134	jerry	9.795191
135	stuff	3.6668222
136	legal	5.3931026
137	mexican	4.395154
138	raising	3.8136823
139	multiple	7.2275
140	coutries	14.236265
141	mediterranean	12.955106
142	asking	4.7440367
143	underlying	4.8140335
144	china	6.5022717
145	deserves	10.8418665
146	junk	2.269629
147	causing	7.303073
148	prosecutors	8.783211
149	ground	14.325563
150	initiatives	8.717639
151	boycott	3.777085
152	cared	3.7194972
153	every	5.368273
154	strains	3.6506236
155	sounds	7.481022
156	sensational	4.2192764
157	nightmare	4.9253216
158	period	4.6866055
159	friend	12.046219
160	crazier	1.5845228
161	senseless	13.31647
162	local	8.237522
163	insurance	9.761521
164	breaks	9.061835
165	name	8.125885
166	rarely	2.242097
167	organizations	8.162229
168	security	4.198738
169	gbr	11.266602
170	conducting	12.652849
171	bunch	1.3262486
172	mass	14.571634
173	accurate	12.35446
174	50	10.680193
175	chances	4.0732164
176	bit	2.391051
177	heartless	12.302253
178	trucks	10.409846
179	songwriting	19.002123
180	leaving	4.26301
181	bottles	9.532903
182	known	5.590846
183	.”	3.6083338
184	institute	5.7806416
185	historical	11.2947645
186	will	4.7389946
187	nonsense	1.3485055
188	infants	27.485483
189	usual	2.1545825
190	showed	3.8858533
191	over	5.378416
192	two	3.277411
193	recover	8.083341
194	original	2.9410217
195	restraining	2.2020607
196	seek	13.04322
197	reading	11.424003
198	think	3.172054
199	loyal	5.3467903
200	habitat	23.113417
201	daily	13.148526
202	tongue	10.582059
203	date	2.8538594
204	totally	7.1426716
205	advertising	4.9253607
206	lethal	3.6155574
207	exact	8.434808
208	rodrigo	13.192647
209	pay	4.5853777
210	sells	3.0769846
211	communist	7.253731
212	peace	15.058207
213	through	15.281496
214	born	15.913425
215	parties	4.5676126
216	stock	2.2086241
217	on	7.3939905
218	damaging	4.1250644
219	policy	5.2660093
220	abortion	12.152821
221	entitled	8.951346
222	though	1.7193427
223	hhhmmmm	5.2384996
224	cohen	19.330488
225	refrigerator	4.37323
226	stays	2.4261005
227	deeper	5.9262657
228	stand	3.0023394
229	fascination	5.1074543
230	terrorist	3.8586195
231	sweatshops	7.1809235
232	transpired	3.1630619
233	silly	1.574507
234	tragic	21.137358
235	pain	24.364061
236	risks	6.3268013
237	habitats	21.020481
238	scourge	7.428012
239	helpless	20.374826
240	before	5.099496
241	incidents	7.81738
242	terribly	6.216201
243	best	5.457184
244	tell	4.757826
245	somali	12.217021
246	bureaucratic	6.395709
247	behavior	3.9987228
248	meaning	13.584488
249	lgbt	15.747787
250	jungle	15.161819
251	did	7.112705
252	sit	4.0757356
253	jerk	1.7945284
254	concerned	3.606509
255	well	2.3855448
256	”	13.991596
257	ever	1.9949534
258	career	6.0105753
259	fire	15.941553
260	punish	5.486408
261	want	5.2229185
262	fucked	5.281348
263	off	4.8617964
264	collar	7.2949905
265	admirers	5.2335367
266	nations	4.0178804
267	!	11.411698
268	earth	16.915243
269	iphone	5.1268435
270	polluted	17.221632
271	supporter	7.2656584
272	maimed	23.281681
273	resistant	4.8360415
274	stop	6.5251236
275	border	8.948534
276	believing	3.0098624
277	unknown	4.8058033
278	via	12.3969555
279	brazil	10.691675
280	precautions	7.4394407
281	steps	12.122263
282	capture	14.668251
283	orangutans	22.748703
284	thankful	16.863615
285	produce	5.408638
286	showing	3.3057306
287	hand	6.569895
288	move	4.5048285
289	interview	5.3108854
290	affects	9.810588
291	midterm	14.16084
292	politicians	5.200142
293	,'	3.6083338
294	who	5.9341125
295	reasons	3.0614545
296	affected	6.4044247
297	liar	2.9584115
298	blames	6.839714
299	mining	22.568146
300	involvement	7.476556
301	dont	3.9382713
302	victim	9.056223
303	disperse	13.67583
304	deserve	18.055265
305	hopefully	4.839987
306	someone	8.216166
307	hurt	14.415805
308	christians	13.35
309	arson	17.11482
310	corrupted	4.371648
311	god	7.583353
312	reported	8.442799
313	relationships	9.243692
314	place	3.861454
315	tension	4.341974
316	ultra	6.0896444
317	sympathy	15.667235
318	organizes	11.268458
319	rhinoceroses	10.467042
320	inquest	10.180974
321	investigating	6.0858803
322	took	7.9080763
323	depression	22.672611
324	ignore	3.320062
325	bill	3.2723489
326	injury	13.168907
327	result	3.2734177
328	allegations	5.178854
329	takes	4.5932837
330	color	15.910582
331	report	7.810405
332	appealing	6.512801
333	jump	6.419487
334	stupid	1.5899925
335	catch	3.0349028
336	usa	6.4689474
337	thinking	2.5392642
338	effects	7.6861124
339	plague	9.665287
340	cannot	4.6418304
341	inexplicably	2.8278549
342	starbucks	10.80025
343	hiding	1.7945193
344	video	6.665763
345	election	9.08712
346	greenpeace	18.074903
347	varying	8.900821
348	organizers	7.343272
349	greatest	5.4326277
350	look	5.7768
351	reports	12.258302
352	understands	9.010057
353	hope	6.7414417
354	physically	9.617803
355	international	6.68377
356	manhattan	5.095888
357	vindicated	4.264801
358	percentage	4.5839148
359	passed	6.3105
360	amusement	3.431876
361	extremists	4.5754366
362	slaughtered	21.845367
363	background	10.691261
364	accept	3.737085
365	anything	1.7493316
366	los	13.07439
367	humanity	12.378969
368	pettiness	3.6254213
369	dancer	9.605416
370	breeding	2.764315
371	gawker	2.3310204
372	saddened	21.766624
373	raised	8.562153
374	losers	2.2598646
375	deem	4.887538
376	journalists	9.807854
377	arctic	13.894337
378	approximately	13.938542
379	maybe	2.0640345
380	cross	13.564797
381	sooner	3.2089508
382	history	7.8587646
