	tokens	ratings
0	disorder	2.9821694
1	cats	3.0426426
2	bearing	2.9991915
3	persistence	3.0774744
4	since	2.9835947
5	most	3.071096
6	externality	3.052972
7	deveiver	3.0873408
8	also	3.12523
9	bank	3.0877857
10	superpower	3.0522149
11	mayonnaise	3.0825267
12	treaty	3.0058823
13	89	2.9883082
14	involvement	3.0568964
15	job	3.1085587
16	habitable	3.0191429
17	barrage	2.9761992
18	principal	3.0792162
19	foraging	3.0950253
20	unequivocally	3.1213717
21	efficacy	3.0792248
22	factories	3.0063071
23	waiting	2.9760232
24	times	3.009999
25	propelled	2.9831936
26	steal	3.1031928
27	pedicab	3.080374
28	rapped	2.9756937
29	woman	3.055779
30	hewn	2.9773598
31	ceramics	3.0537589
32	dropping	2.9757285
33	three	3.0558069
34	driver	3.0222936
35	oregan	3.0783246
36	cci	3.04743
37	only	3.0233665
38	donate	3.1610415
39	recent	2.9973626
40	anwar	3.1023157
41	carry	3.118377
42	host	3.1335754
43	explorations	3.0855644
44	recognizable	3.0565898
45	built	3.0701869
46	red	2.9960382
47	nathan	3.0390503
48	hip	2.9876332
49	saw	2.9779782
50	could	2.989318
51	exits	2.9757338
52	stables	3.0195045
53	change	3.1357434
54	glad	3.0734015
55	laboriously	2.97602
56	moves	2.986009
57	used	3.0160995
58	soothe	2.9811869
59	doesn	3.1405883
60	say	3.1264787
61	comparison	3.0091476
62	entrepreneur	3.0809374
63	2002	3.0003717
64	labels	3.115801
65	weapons	2.990763
66	asia	3.0511098
67	artists	3.114221
68	got	3.065666
69	sadat	3.0071857
70	brazil	3.0927114
71	participation	3.107885
72	horrors	2.9756832
73	approach	3.130891
74	muslims	3.1031685
75	sok	3.0405552
76	lines	3.0310805
77	increased	3.0105884
78	angeles	3.039631
79	tempted	2.9772162
80	distinct	3.0912964
81	moderate	3.0538278
82	pins	3.0094874
83	13	2.9824667
84	karma	3.0482976
85	scattered	2.975575
86	aico	3.0604818
87	beat	3.102977
88	cops	3.1376019
89	month	3.035402
90	grave	2.975575
91	participating	3.1643767
92	child	3.0153632
93	available	3.0918927
94	argue	3.097933
95	started	2.996878
96	pure	3.111929
97	look	3.1243432
98	2001	2.990309
99	india	3.0455856
100	customers	3.1832085
101	aide	3.004146
102	tower	2.987869
103	hospital	2.9758942
104	contributed	2.9891334
105	special	3.154017
106	revells	3.0873408
107	rugs	3.0454612
108	discussing	3.0509634
109	♯	3.0869174
110	limit	3.093361
111	corporation	3.0807645
112	fraudulent	3.0248811
113	mechanisms	3.0387278
114	craned	2.975575
115	auction	3.10471
116	federation	3.072579
117	called	3.0562534
118	idiots	3.172566
119	harpercollins	3.132354
120	auctioneer	3.0675433
121	dsm	3.1283855
122	slipped	2.975575
123	voluntary	3.0545592
124	homes	3.0322108
125	oral	3.1291928
126	presents	3.1000435
127	movement	2.986595
128	ignored	2.975575
129	hurt	2.975575
130	perhaps	2.9845898
131	marches	3.0162091
132	1958	2.9965959
133	direction	2.9970071
134	sentence	2.9937181
135	minded	3.0719442
136	active	3.0759506
137	staying	2.9982622
138	associated	3.0495677
139	holes	2.9844248
140	junior	3.0618484
141	book	3.1301079
142	similar	3.035971
143	famous	3.076917
144	wikholm	3.0873408
145	patrollers	3.0470371
146	bay	3.0259604
147	shirt	3.1019316
148	enable	3.1575649
149	!)	3.0873408
150	queen	3.063099
151	optional	3.1141148
152	head	2.9775748
153	deliverymen	2.9822893
154	horrible	2.975575
155	interesting	3.0765443
156	ged	3.0045018
157	biggest	3.0797696
158	wider	3.0813882
159	9	2.986966
160	outrage	2.9771168
161	temperature	2.996286
162	fledged	3.058905
163	6	3.0075445
164	chapter	3.0419216
165	abused	2.9757001
166	america	3.1188455
167	paste	3.1186063
168	hit	2.9949222
169	helps	3.16645
170	promotion	3.1687272
171	bottle	3.1077352
172	trains	2.9837744
173	working	3.0928478
174	robot	3.0880601
175	point	3.0464768
176	same	3.0861535
177	your	3.2567544
178	elements	3.0853922
179	travels	2.9938848
180	complicity	2.9775648
181	imaginary	3.0495138
182	monday	3.0591812
183	soviet	2.9846103
184	off	3.0831187
185	feelings	2.975575
186	amenities	3.1300435
187	campus	3.1482282
188	destroyed	2.975575
189	folk	3.1076305
190	smell	3.0275595
191	homepage	3.0990689
192	danger	2.975575
193	rely	3.0333211
194	dancers	3.042558
195	mccain	3.1241913
196	size	3.0432832
197	money	3.1455946
198	successful	3.120119
199	souvenirs	3.1188738
200	reply	2.9993665
201	sovereignty	3.0126894
